-0.501883 , 0.398007 , 0.301681
-0.345588 , 0.576346 , 0.343803
-0.277656 , 0.654272 , 0.511425
-0.291419 , 0.653349 , 0.489288
-0.37823 , 0.604686 , 0.282381
-0.39662 , 0.487221 , 0.0858058
-0.39662 , 0.487221 , 0.0858058
-0.400327 , 0.579563 , 0.215845
-0.207419 , 0.672803 , 0.335363
-0.0273888 , 0.695137 , 0.505945
0.110765 , 0.589166 , 0.647266
0.255666 , 0.425463 , 0.787867
0.308324 , 0.256272 , 0.846362
0.317248 , 0.262017 , 0.736185
0.335763 , 0.264592 , 0.668506
0.397054 , 0.139048 , 0.646824
0.45348 , 0.0847018 , 0.671603
0.548476 , 0.244436 , 0.66023
0.659527 , 0.115377 , 0.661628
0.667445 , -0.0611887 , 0.712684
0.585345 , -0.049609 , 0.851488
0.552645 , -0.0191239 , 0.95269
0.34846 , -0.204755 , 0.947034
0.199419 , -0.334219 , 0.960124
0.217189 , -0.343069 , 0.972179
0.243907 , -0.359923 , 0.98883
0.260959 , -0.379147 , 1.00361
0.264432 , -0.401429 , 1.02087
0.250354 , -0.426697 , 1.04325
0.214885 , -0.453457 , 1.07083
0.0598215 , -0.49569 , 0.973978
0.000215007 , -0.60254 , 0.9046
-0.0532597 , -0.704402 , 0.771161
-0.0373156 , -0.657132 , 0.702938
0.0975287 , -0.634978 , 0.509597
0.216544 , -0.540463 , 0.318443
0.249058 , -0.480023 , 0.304229
0.140663 , -0.506471 , 0.282465
0.0328573 , -0.376048 , 0.366107
0.0725746 , -0.40236 , 0.367885
0.00367179 , -0.374993 , 0.276314
-0.0666117 , -0.425774 , 0.343525
-0.00458259 , -0.489965 , 0.265877
-0.111883 , -0.501993 , 0.201681
